"Kurzbezeichnung","Name  ","Nr."
"Volksabst.","Ab jetzt...Bündnis für Deutschland, für Demokratie durch Volksabstimmung ",1
"ADM","Allianz der Mitte ",2
"BP","Bayernpartei ",3
"GRÜNE","BÜNDNIS 90/DIE GRÜNEN ",4
"BüSo","Bürgerrechtsbewegung Solidarität ",5
"CDU","Christlich Demokratische Union Deutschlands ",6
"CM","CHRISTLICHE MITTE - Für ein Deutschland nach GOTTES Geboten ",7
"CSU","Christlich-Soziale Union in Bayern e.V. ",8
"DVD","Demokratische Volkspartei Deutschland ",9
"DKP","Deutsche Kommunistische Partei ",10
"DVU","DEUTSCHE VOLKSUNION ",11
"ZENTRUM","Deutsche Zentrumspartei - Älteste Partei Deutschlands gegründet 1870 ",12
"DIE LINKE","DIE LINKE ",13
"REP","DIE REPUBLIKANER ",14
"VIOLETTEN","Die Violetten",15
"FAMILIE","Familien-Partei Deutschlands ",16
"FDP","Freie Demokratische Partei ",17
"Freie Union","Freie Union ",18
"FWD","Freie Wähler Deutschland ",19
"MLPD","Marxistisch-Leninistische Partei Deutschlands ",20
"Tierschutz","Mensch Umwelt Tierschutz ",21
"NPD","Nationaldemokratische Partei Deutschlands ",22
"ödp","Ökologisch-Demokratische Partei ",23
"PBC","Partei Bibeltreuer Christen ",24
"PSG","Partei für Soziale Gleichheit, Sektion der Vierten Internationale ",25
"PIRATEN","Piratenpartei Deutschland  ",26
"RRP","Rentnerinnen und Rentner Partei ",27
"RENTNER","Rentner-Partei-Deutschland ",28
"SPD","Sozialdemokratische Partei Deutschlands ",29
"GRAUE",,30
"DIE FRAUEN",,31
"AGFG",,32
"APPD",,33
"50Plus",,34
"Die PARTEI",,35
"Pro DM",,36
"DSU",,37
"HP",,38
"HUMANWIRTSCHAFTS- PARTEI",,39
"STATT Partei",,40
"UNABHÄNGIGE",,41
